Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
1/13/2021,OR,0,1,1,1,1,0,1,1
2/19/2020,AZ,0,0,0,0,0,0,0,0
2/18/2020,MN,0,0,0,0,0,0,0,0
12/2/2020,RI,0,0,0,0,0,0,0,1
12/29/2020,ND,0,0,0,0,0,0,1,1
10/10/2020,NE,0,0,1,0,0,0,1,0
8/9/2020,MN,0,0,0,0,0,0,1,0
6/18/2020,MD,1,0,1,1,1,1,1,1
2/12/2020,MN,0,0,0,0,0,0,0,0
2/11/2021,VT,0,0,0,0,0,0,1,1
4/19/2020,SC,0,1,1,1,1,1,1,1
5/19/2020,NE,0,1,1,1,1,0,1,0
2/14/2020,OR,0,0,0,0,0,0,0,0
5/25/2020,VT,1,1,1,1,1,0,1,1
10/4/2020,DC,0,0,0,0,0,0,1,0
9/15/2020,RI,0,0,0,0,0,0,0,1
3/8/2020,MT,0,0,0,0,0,0,0,0
12/7/2020,NH,0,0,0,0,0,0,1,1
10/19/2020,WA,0,0,0,1,0,0,1,1
6/16/2020,ID,0,0,0,0,0,0,1,0
5/28/2020,SC,0,0,1,1,0,1,1,1
2/12/2020,IN,0,0,0,0,0,0,0,0
1/24/2020,WY,0,0,0,0,0,0,0,0
2/13/2021,MI,0,0,0,0,1,0,1,1
5/14/2020,DE,1,1,1,1,1,1,1,0
8/13/2020,SC,0,0,0,1,0,0,1,1
7/17/2020,MN,0,0,0,0,0,0,1,0
7/28/2020,KY,0,0,0,0,0,0,1,0
1/10/2021,MD,0,0,0,0,0,0,1,1
5/18/2020,WY,0,1,0,1,1,0,1,0
11/7/2020,IL,0,0,0,0,0,0,1,0
3/5/2020,WA,0,0,0,0,0,0,0,0
1/17/2021,KY,0,0,0,0,0,0,1,0
10/28/2020,LA,0,0,0,0,1,0,1,1
3/1/2020,DE,0,0,0,0,0,0,0,0
10/23/2020,OR,0,0,0,1,0,0,1,1
4/23/2020,AL,1,1,1,1,1,1,1,1
7/16/2020,AL,0,0,0,0,0,0,1,1
6/4/2020,VT,1,1,1,1,1,0,1,1
11/2/2020,VA,0,0,0,0,0,0,1,0
1/23/2021,MI,0,0,0,0,1,0,1,1
4/17/2020,DE,0,1,1,1,1,1,1,0
10/17/2020,NJ,0,0,0,0,0,0,1,1
5/4/2020,DC,0,1,1,1,1,0,1,0
